FID,STATEFP,COUNTYFP,COUNTYNM,TRACTCE,GEOID,ALAND,AWATER,ASQMI,INTPTLAT,INTPTLON,MSSAID,MSSANM,DEFINITION,TOTALPOVPO,Shape__Area,Shape__Length
5920,06,073,San Diego,003404,06073003404,1670668,0,0.645048844479,+32.7139897,-117.0939554,161g,Encanto/Lemon Grove Northwest/Lincoln Acres/National City East/Paradise Hills Southwest,Urban,5232,2366597.90625,6286.69767928582
5921,06,073,San Diego,003501,06073003501,1188116,0,0.458734301964,+32.7060389,-117.1145661,161c,Downtown/Golden Hill/Logan Heights,Urban,4433,1682737.90625,5135.51802066317
5922,06,073,San Diego,003502,06073003502,780126,0,0.301207438275,+32.6985999,-117.1135350,161c,Downtown/Golden Hill/Logan Heights,Urban,5114,1104712.2890625,4509.81371729185
5923,06,073,San Diego,003602,06073003602,657402,0,0.253824248511,+32.6929463,-117.1073974,161c,Downtown/Golden Hill/Logan Heights,Urban,3520,930812.29296875,3926.74481228078
5924,06,073,San Diego,003603,06073003603,677687,0,0.261655785016,+32.6866567,-117.1075926,161k,Chula Vista Central and Northwest/National City West,Urban,3520,959397.7890625,4031.65297485616
5925,06,097,Sonoma,150205,06097150205,15526132,0,5.99467256575,+38.3260606,-122.4518982,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,3953,25267481.5546875,29217.2944804177
5926,06,097,Sonoma,150206,06097150206,16660851,0,6.43279063329,+38.3121108,-122.4276641,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,1544,27103794.4257812,28778.5123720723
5927,06,097,Sonoma,150502,06097150502,59121812,90641,22.862003376,+38.4023932,-122.4986931,208,Boyes Hot Springs/Glen Ellen/Kenwood/Sonoma/Vineburg,Urban,1297,96545259.1132812,60051.4572817553
5928,06,097,Sonoma,151505,06097151505,24604274,44762,9.51704490393,+38.3861148,-122.6519679,209.1,Petaluma,Urban,1330,40180062.6289062,38491.3466601258
5929,06,097,Sonoma,154307,06097154307,108897903,16987374,48.6046937315,+38.5786079,-123.3140349,207,Forestville/Fort Ross/Guerneville/Jenner/Monte Rio/Occidental/Sea Ranch,Rural,684,206300932.238281,135146.53514495
5930,06,077,San Joaquin,003119,06077003119,1419750,284864,0.658154798913,+37.9872216,-121.3635219,169c,Stockton Northwest/Stockton West,Urban,3027,2748632.68359375,9060.36307590173
5931,06,077,San Joaquin,003116,06077003116,793834,0,0.306499273004,+37.9855938,-121.3159453,169a,Stockton North Central/Stockton Northeast,Urban,2804,1279983.52734375,4721.39728192984
5932,06,077,San Joaquin,003118,06077003118,1391411,114238,0.581334515325,+37.9923798,-121.3528023,169c,Stockton Northwest/Stockton West,Urban,2915,2428028.5703125,7121.3570335779
5933,06,077,San Joaquin,003117,06077003117,2983209,177640,1.22040943914,+37.9757911,-121.3623551,169c,Stockton Northwest/Stockton West,Urban,2683,5095275.19140625,9776.59305559269
5934,06,077,San Joaquin,003115,06077003115,1268912,24983,0.49957501583,+37.9823073,-121.3319619,169a,Stockton North Central/Stockton Northeast,Urban,3649,2086191.33203125,8147.40444765033
5935,06,077,San Joaquin,004310,06077004310,1363690,0,0.526524198248,+38.1227208,-121.3017171,166,Lodi,Urban,2831,2207023.4921875,6237.01896706899
5936,06,077,San Joaquin,004309,06077004309,1248111,0,0.481899304362,+38.1226963,-121.2925360,166,Lodi,Urban,2375,2019968.5859375,6162.96182793469
5937,06,077,San Joaquin,004205,06077004205,1380013,0,0.532830404089,+38.1377093,-121.2929037,166,Lodi,Urban,3407,2234366.90234375,6405.09332560827
